vehicle_id,install_date,before_start,before_end_exclusive,after_start,after_end_exclusive,timezone
HDV_01,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
HDV_02,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
HDV_03,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
HDV_04,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
LDV_01,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
LDV_02,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
LDV_03,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
LDV_04,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul
LDV_05,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul
LDV_06,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul
LDV_07,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul
LDV_08,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul
