vehicle,period,signal,signal_present,expected_start,expected_end_exclusive,input_record_count,invalid_timestamp_count,invalid_numeric_count,duplicate_timestamp_count,outlier_value_count,outside_period_count,interval_candidate_count,valid_interval_count,nonpositive_interval_count,long_gap_count,removed_interval_count,removed_interval_pct,valid_time_hours,first_timestamp,last_timestamp,expected_period_hours,start_delay_hours,end_shortfall_hours,observed_span_pct,reset_count,excessive_rate_count,valid_increment_count,removed_increment_count,removed_increment_pct,threshold_record_count,distinct_event_count
HDV_01,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,27308,0,0,0,0,0,27307,26702,0,605,605,2.2155491265975757,132.90017722222223,2026-04-18 00:09:03.083000+09:00,2026-05-17 23:59:22.077000+09:00,720.0,0.1508563888888889,0.010534166666666667,99.97758464506173,,,,,,,
HDV_01,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6946,0,0,0,0,0,6945,6162,0,783,783,11.274298056155507,59.304001944444444,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:14:55.023000+09:00,720.0,0.15084999999999998,0.7513825,99.87468993055556,,,,,,,
HDV_01,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5651,0,0,0,0,0,5650,4782,0,868,868,15.36283185840708,45.59825972222222,2026-04-18 00:09:39.917000+09:00,2026-05-17 23:30:47.037000+09:00,720.0,0.16108805555555555,0.48693416666666667,99.90999691358026,0.0,0.0,5650.0,0.0,0.0,,
HDV_01,before,odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5443,0,0,0,0,0,5442,4810,0,632,632,11.61337743476663,136.19427222222222,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:59:26.523000+09:00,720.0,0.15084999999999998,0.009299166666666666,99.97775706018518,0.0,0.0,5442.0,0.0,0.0,,
HDV_01,before,raw_odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5443,0,0,0,0,0,5442,4810,0,632,632,11.61337743476663,136.19427222222222,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:59:26.523000+09:00,720.0,0.15084999999999998,0.009299166666666666,99.97775706018518,0.0,0.0,5442.0,0.0,0.0,,
HDV_01,before,incremental_distance,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,,,,,,,
HDV_01,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,3692,0,0,0,0,0,3691,2773,0,918,918,24.87130858845841,57.44230388888889,2026-04-18 00:09:03.060000+09:00,2026-05-17 23:55:46.113000+09:00,720.0,0.15084999999999998,0.07052416666666667,99.96925358796295,,,,,,,
HDV_01,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,947,0,0,0,0,0,946,737,0,209,209,22.093023255813954,1.9123386111111111,2026-04-18 01:37:26.800000+09:00,2026-05-17 19:55:58.147000+09:00,720.0,1.624111111111111,4.067181388888889,99.20954270833333,,,,,,2.0,2.0
HDV_01,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1123,0,0,0,0,0,1122,913,0,209,209,18.627450980392158,1.9123386111111111,2026-04-18 01:37:26.800000+09:00,2026-05-17 19:55:58.147000+09:00,720.0,1.624111111111111,4.067181388888889,99.20954270833333,,,,,,9.0,7.0
HDV_01,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1474,0,0,0,0,0,1473,1264,0,209,209,14.188730482009504,1.9123386111111111,2026-04-18 01:37:26.800000+09:00,2026-05-17 19:55:58.147000+09:00,720.0,1.624111111111111,4.067181388888889,99.20954270833333,,,,,,,
HDV_02,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,26627,0,0,0,0,0,26626,26236,0,390,390,1.4647337189213552,130.99600805555554,2026-04-18 00:43:13.610000+09:00,2026-05-16 13:44:17.037000+09:00,720.0,0.7204472222222222,34.26193416666667,95.14133591820989,,,,,,,
HDV_02,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6194,0,0,0,0,0,6193,5581,0,612,612,9.88212497981592,59.42210027777777,2026-04-18 00:43:13.573000+09:00,2026-05-16 13:43:09.027000+09:00,720.0,0.7204369444444444,34.28082583333333,95.13871350308641,,,,,,,
HDV_02,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,3960,0,0,0,0,0,3959,3302,0,657,657,16.595099772669865,34.458149999999996,2026-04-18 00:43:18.613000+09:00,2026-05-16 13:44:19.687000+09:00,720.0,0.7218369444444444,34.26119805555555,95.14124513888889,0.0,0.0,3959.0,0.0,0.0,,
HDV_02,before,odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,4666,0,0,0,0,0,4665,4222,0,443,443,9.496248660235798,120.31317305555554,2026-04-18 00:43:13.573000+09:00,2026-05-16 13:44:19.687000+09:00,720.0,0.7204369444444444,34.26119805555555,95.14143958333334,0.0,0.0,4665.0,0.0,0.0,,
HDV_02,before,raw_odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,4666,0,0,0,0,0,4665,4222,0,443,443,9.496248660235798,120.31317305555554,2026-04-18 00:43:13.573000+09:00,2026-05-16 13:44:19.687000+09:00,720.0,0.7204369444444444,34.26119805555555,95.14143958333334,0.0,0.0,4665.0,0.0,0.0,,
HDV_02,before,incremental_distance,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,,,,,,,
HDV_02,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1483,0,0,0,0,0,1482,875,0,607,607,40.958164642375166,22.96723972222222,2026-04-18 00:43:14.057000+09:00,2026-05-16 13:44:17.673000+09:00,720.0,0.7205713888888888,34.2617575,95.14134320987654,,,,,,,
HDV_02,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1514,0,0,0,0,0,1513,1267,0,246,246,16.259087904824852,5.75877,2026-04-18 01:46:11.107000+09:00,2026-05-16 13:42:50.173000+09:00,720.0,1.7697519444444445,34.28606305555556,94.99224791666667,,,,,,8.0,8.0
HDV_02,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1715,0,0,0,0,0,1714,1468,0,246,246,14.352392065344224,5.758808888888889,2026-04-18 01:46:11.107000+09:00,2026-05-16 13:42:50.173000+09:00,720.0,1.7697519444444445,34.28606305555556,94.99224791666667,,,,,,35.0,32.0
HDV_02,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2406,0,0,0,0,0,2405,2159,0,246,246,10.22869022869023,5.758808888888889,2026-04-18 01:46:11.107000+09:00,2026-05-16 13:42:50.173000+09:00,720.0,1.7697519444444445,34.28606305555556,94.99224791666667,,,,,,,
HDV_03,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,36500,0,0,0,0,0,36499,35932,0,567,567,1.553467218279953,167.30676527777777,2026-04-18 00:08:19.093000+09:00,2026-05-17 23:45:11.003000+09:00,720.0,0.13863694444444444,0.2469436111111111,99.94644714506174,,,,,,,
HDV_03,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,7163,0,0,0,0,0,7162,6292,0,870,870,12.147444847807874,64.15203166666667,2026-04-18 00:08:19.003000+09:00,2026-05-17 23:45:02.023000+09:00,720.0,0.13861194444444444,0.24943805555555554,99.94610416666666,,,,,,,
HDV_03,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6469,0,0,0,0,0,6468,5536,0,932,932,14.40940012368584,53.71578611111111,2026-04-18 00:08:20.020000+09:00,2026-05-17 23:45:09.610000+09:00,720.0,0.13889444444444443,0.24733055555555555,99.94635763888888,0.0,0.0,6468.0,0.0,0.0,,
HDV_03,before,odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5580,0,0,0,0,0,5579,4931,0,648,648,11.614984764294677,143.42747833333334,2026-04-18 00:16:48.567000+09:00,2026-05-17 18:25:05.813000+09:00,720.0,0.2801575,5.5817186111111114,99.18585054012344,0.0,0.0,5579.0,0.0,0.0,,
HDV_03,before,raw_odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5580,0,0,0,0,0,5579,4931,0,648,648,11.614984764294677,143.42747833333334,2026-04-18 00:16:48.567000+09:00,2026-05-17 18:25:05.813000+09:00,720.0,0.2801575,5.5817186111111114,99.18585054012344,0.0,0.0,5579.0,0.0,0.0,,
HDV_03,before,incremental_distance,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,,,,,,,
HDV_03,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1690,0,0,0,0,0,1689,853,0,836,836,49.49674363528715,23.043155,2026-04-18 00:07:41.433000+09:00,2026-05-17 23:43:17.267000+09:00,720.0,0.12817583333333332,0.27853694444444443,99.94351211419753,,,,,,,
HDV_03,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1296,0,0,0,0,0,1295,1051,0,244,244,18.841698841698843,3.5823269444444445,2026-04-18 01:05:06.647000+09:00,2026-05-17 18:24:09.773000+09:00,720.0,1.0851797222222221,5.597285277777777,99.07187986111111,,,,,,2.0,2.0
HDV_03,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1516,0,0,0,0,0,1515,1271,0,244,244,16.105610561056103,3.5823269444444445,2026-04-18 01:05:06.647000+09:00,2026-05-17 18:24:09.773000+09:00,720.0,1.0851797222222221,5.597285277777777,99.07187986111111,,,,,,22.0,21.0
HDV_03,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2092,0,0,0,0,0,2091,1847,0,244,244,11.669057867049258,3.5823269444444445,2026-04-18 01:05:06.647000+09:00,2026-05-17 18:24:09.773000+09:00,720.0,1.0851797222222221,5.597285277777777,99.07187986111111,,,,,,,
HDV_04,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,33896,0,0,0,0,0,33895,33689,0,206,206,0.6077592565275115,128.11198666666667,2026-04-20 07:16:42.073000+09:00,2026-05-15 20:25:46.117000+09:00,720.0,55.278353611111115,51.570523055555554,85.15987824074075,,,,,,,
HDV_04,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,7120,0,0,0,0,0,7119,6605,0,514,514,7.2201151847169545,63.80632222222223,2026-04-20 07:10:51.263000+09:00,2026-05-15 20:24:46.027000+09:00,720.0,55.18090638888889,51.58721472222222,85.17109429012346,,,,,,,
HDV_04,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,745,0,0,0,0,0,744,324,0,420,420,56.451612903225815,5.098002222222221,2026-04-20 07:26:36.683000+09:00,2026-05-15 20:25:46.493000+09:00,720.0,55.44352305555555,51.570418611111116,85.13695254629631,0.0,0.0,744.0,0.0,0.0,,
HDV_04,before,odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,7350,0,0,0,0,0,7349,7095,0,254,254,3.4562525513675326,125.99715111111111,2026-04-20 07:10:51.290000+09:00,2026-05-15 20:25:46.270000+09:00,720.0,55.18091388888889,51.570480555555555,85.1734174382716,0.0,0.0,7349.0,0.0,0.0,,
HDV_04,before,raw_odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,7350,0,0,0,0,0,7349,7095,0,254,254,3.4562525513675326,125.99715111111111,2026-04-20 07:10:51.290000+09:00,2026-05-15 20:25:46.270000+09:00,720.0,55.18091388888889,51.570480555555555,85.1734174382716,0.0,0.0,7349.0,0.0,0.0,,
HDV_04,before,incremental_distance,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,4005,0,0,0,0,0,4004,3633,0,371,371,9.265734265734265,112.29605972222222,2026-04-20 07:10:51.237000+09:00,2026-05-15 20:25:46.117000+09:00,720.0,55.18089916666666,51.570523055555554,85.17341358024692,,,,,,,
HDV_04,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,612,0,0,0,0,0,611,315,0,296,296,48.44517184942717,5.002172222222222,2026-04-20 07:10:51.720000+09:00,2026-05-15 20:25:43.230000+09:00,720.0,55.18103333333333,51.571324999999995,85.17328356481481,,,,,,,
HDV_04,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1274,0,0,0,0,0,1273,1094,0,179,179,14.061272584446192,4.4163677777777774,2026-04-20 09:21:21.343000+09:00,2026-05-15 20:24:32.867000+09:00,720.0,57.35592861111111,51.590870277777775,84.868500154321,,,,,,5.0,5.0
HDV_04,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1446,0,0,0,0,0,1445,1266,0,179,179,12.387543252595155,4.416704999999999,2026-04-20 09:21:21.343000+09:00,2026-05-15 20:24:32.867000+09:00,720.0,57.35592861111111,51.590870277777775,84.868500154321,,,,,,29.0,28.0
HDV_04,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2093,0,0,0,0,0,2092,1913,0,179,179,8.55640535372849,4.417577777777778,2026-04-20 09:21:21.343000+09:00,2026-05-15 20:24:32.867000+09:00,720.0,57.35592861111111,51.590870277777775,84.868500154321,,,,,,,
LDV_01,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,25453,0,0,0,0,0,25452,25311,0,141,141,0.553983969825554,74.61303583333333,2026-04-20 09:16:30.293000+09:00,2026-05-15 17:28:53.380000+09:00,720.0,57.27508138888889,54.518505555555556,84.4731129243827,,,,,,,
