vehicle,before_distance_km,before_harsh_braking_event_count,before_side_accel_event_count,before_total_driving_events,before_driving_events_per_100km,after_distance_km,after_harsh_braking_event_count,after_side_accel_event_count,after_total_driving_events,after_driving_events_per_100km,before_dss_raw,after_dss_raw,before_dss,after_dss,driving_risk_change_pct,dss_change
LDV_06,1320.4,123.0,116.0,239.0,18.100575583156616,1452.8,53.0,57.0,110.0,7.571585903083701,33.36419000436379,79.7601784718349,33.36419000436379,79.7601784718349,-58.169363906143424,46.39598846747111
LDV_03,1889.6,21.0,101.0,122.0,6.456392887383573,2158.0,11.0,70.0,81.0,3.7534754402224286,93.53691038921855,160.8938309475119,93.53691038921855,100.0,-41.86420334553851,6.463089610781452
LDV_04,2001.6,185.0,168.0,353.0,17.635891286970423,2325.6000000000004,146.0,110.0,256.0,11.007911936704504,34.24329585150941,54.861543807515346,34.24329585150941,54.861543807515346,-37.5823327690999,20.618247956005938
HDV_04,7558.799999999999,5.0,28.0,33.0,0.43657723448166386,8872.0,0.0,29.0,29.0,0.3268710550045086,1383.2856943669822,1847.551301036598,100.0,100.0,-25.128699073694577,0.0
LDV_05,1563.3,233.0,381.0,614.0,39.27589074393911,1650.8000000000002,215.0,373.0,588.0,35.619093772716255,15.376125951719589,16.954699824715163,15.376125951719589,16.954699824715163,-9.310538607675383,1.578573872995575
LDV_01,2086.4,53.0,73.0,126.0,6.039110429447852,2129.3,45.0,98.0,143.0,6.715822101160004,100.0,89.92362124072248,100.0,89.92362124072248,11.20548596714471,-10.076378759277517
HDV_03,10175.4,2.0,21.0,23.0,0.22603534013404877,10543.1,6.0,21.0,27.0,0.25609166184518783,2671.7549679914646,2358.183154396728,100.0,100.0,13.297178084327149,0.0
HDV_02,8495.900000000001,8.0,32.0,40.0,0.47081533445544316,9402.6,5.0,47.0,52.0,0.553038521260077,1282.6919574386502,1091.9873023831994,100.0,100.0,17.463999319337223,0.0
HDV_01,9614.0,2.0,7.0,9.0,0.09361348034116912,9905.9,4.0,11.0,15.0,0.15142490838793043,6451.111963190185,3988.1882668711655,100.0,100.0,61.75545213795148,0.0
LDV_08,1252.5,133.0,36.0,169.0,13.49301397205589,1513.2,274.0,80.0,354.0,23.39413164155432,44.757312502268846,25.814638140792347,44.757312502268846,25.814638140792347,73.37958509495138,-18.9426743614765
LDV_02,1819.1,3.0,10.0,13.0,0.7146391072508385,2041.2,7.0,24.0,31.0,1.5187144816774447,845.0573678621989,397.6462002770631,100.0,100.0,112.51488566303378,0.0
LDV_07,1273.1,,,,,1501.8,,,,,,,,,,
