metric,value
fei_lite_version,v2
component_index_method,bounded_0_200
component_index_range,0-200
baseline_reference,100
final_weight_scenario,primary_50_20_20_10
nominal_fes_weight,0.5
nominal_res_weight,0.2
nominal_ies_weight,0.2
nominal_dss_weight,0.1
status_tolerance_points,0.1
fleet_average_method,equal_vehicle_mean_across_valid_vehicles
valid_vehicle_count,12
missing_vehicle_count,0
fleet_avg_before_fei_lite,104.42858262379337
fleet_avg_after_fei_lite,103.71522101389492
fleet_absolute_change,-0.7133616098984561
fleet_percentage_change,-0.6831095395293829
mean_vehicle_percentage_change,-0.5655980228334153
vehicles_improved,4
vehicles_unchanged,0
vehicles_declined,8
vehicles_missing,0
top_vehicle_after_fei,HDV_04
top_vehicle_after_fei_value,124.50692105905235
bottom_vehicle_after_fei,LDV_05
bottom_vehicle_after_fei_value,87.07105560956971
heavy_duty_vehicle_count,4
heavy_duty_avg_before_fei,120.454796094106
heavy_duty_avg_after_fei,120.44908428995163
heavy_duty_absolute_change,-0.005711804154373112
light_duty_vehicle_count,8
light_duty_avg_before_fei,96.41547588863706
light_duty_avg_after_fei,95.34828937586659
light_duty_absolute_change,-1.0671865127704763
