vehicle,before_fes,after_fes,fes_change,before_res,after_res,res_change,before_ies,after_ies,ies_change,before_dss,after_dss,dss_change,before_fei_lite,after_fei_lite,fei_change,fei_change_pct,improved,rank,vehicle_class,final_weight_scenario,available_component_count,missing_components,valid_for_fei,fes_direction,fes_baseline_scope,fes_baseline,before_fes_metric,after_fes_metric,before_fes_index,after_fes_index,res_direction,res_baseline_scope,res_baseline,before_res_metric,after_res_metric,before_res_index,after_res_index,ies_direction,ies_baseline_scope,ies_baseline,before_ies_metric,after_ies_metric,before_ies_index,after_ies_index,dss_direction,dss_baseline_scope,dss_baseline,before_dss_metric,after_dss_metric,before_dss_index,after_dss_index,effective_fes_weight,effective_res_weight,effective_ies_weight,effective_dss_weight,effective_weight_sum,fei_absolute_change,fei_percentage_change,change_status,after_rank,install_date,before_start,before_end_exclusive,after_start,after_end_exclusive,timezone,unchanged,declined,missing,fuel_efficiency_change_pct,rpm_efficiency_change_pp,idle_ratio_change_pp,driving_events_change_pct,before_period_label,after_period_label,analysis_period_display,data_source_version,component_index_method,index_reference,nominal_fes_weight,nominal_res_weight,nominal_ies_weight,nominal_dss_weight,weight_reallocated,dss_available,fleet_avg_before_fei_lite,fleet_avg_after_fei_lite,fleet_absolute_change,fleet_percentage_change,fleet_improved_count,fleet_unchanged_count,fleet_declined_count,fleet_missing_count,change_status_order
HDV_04,102.13239501359526,102.21169005501277,0.07929504141750954,133.11061120292763,134.59272954180986,1.4821183388822305,137.56428548029294,137.54730354890168,-0.01698193139125692,186.5164208918395,189.7306941340365,3.2142732421970095,123.8528189326257,124.50692105905236,0.6541021264266504,0.5281285739507257,True,1,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,4.147011866945366,4.15359694379161,102.13239501359526,102.21169005501277,higher,fleet_before_median,0.2399074183976582,0.4774183718722585,0.4936728601159137,133.11061120292763,134.59272954180986,lower,fleet_before_median,0.2506672860063811,0.113769290145924,0.1138142843898896,137.56428548029294,137.54730354890168,lower,fleet_before_positive_median,6.039110429447852,0.4365772344816638,0.3268710550045086,186.5164208918395,189.7306941340365,0.5,0.2,0.2,0.1,1.0,0.6541021264266504,0.5281285739507257,Improved,1,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,False,False,0.1587908850401702,1.6254488243655218,0.0044994243965590375,-25.12869907369457,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,1
HDV_02,98.6729991887854,96.34397569257452,-2.32902349621088,130.50907222264215,133.6988050071217,3.1897327844795598,129.54852114672843,137.37427143627963,7.825750289551195,185.53546226084316,183.2212977772389,-2.3141644836042587,119.90156449435116,120.70873291269142,0.8071684183402681,0.6731925657052588,True,2,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,3.869758501635208,3.693522410338986,98.6729991887854,96.34397569257452,higher,fleet_before_median,0.2399074183976582,0.4505637727952362,0.4837821574038873,130.50907222264215,133.6988050071217,lower,fleet_before_median,0.2506672860063811,0.1363186614788425,0.1142733733843431,129.54852114672843,137.37427143627963,lower,fleet_before_positive_median,6.039110429447852,0.4708153344554431,0.553038521260077,185.53546226084316,183.2212977772389,0.5,0.2,0.2,0.1,1.0,0.8071684183402681,0.6731925657052588,Improved,2,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,False,False,-4.554188361411998,3.321838460865112,-2.2045288094499407,17.463999319337237,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,1
HDV_01,101.02790198154376,100.4498240809755,-0.5780779005682604,131.2495098766773,131.81112130508828,0.5616114284109699,118.21393698484088,113.61309410321172,-4.600842881629163,196.94708316506,195.1078573944182,-1.8392257706418036,120.10134867958152,118.82054086158956,-1.2808078179919562,-1.0664391633178278,False,3,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,4.056386044411822,4.009755307737462,101.02790198154376,100.4498240809755,higher,fleet_before_median,0.2399074183976582,0.4580000960573487,0.4637481424190655,131.2495098766773,131.81112130508828,lower,fleet_before_median,0.2506672860063811,0.1734236332200471,0.1905974959890157,118.21393698484088,113.61309410321172,lower,fleet_before_positive_median,6.039110429447852,0.0936134803411691,0.1514249083879304,196.94708316506,195.1078573944182,0.5,0.2,0.2,0.1,1.0,-1.2808078179919562,-1.0664391633178278,Declined,3,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,True,False,-1.1495635810748068,0.5748046361716774,1.7173862768968595,61.75545213795147,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
HDV_03,98.950522825103,98.83519883822098,-0.11532398688201795,129.81596013809104,128.7950610888543,-1.020899049236732,116.23281667084586,116.98569857393537,0.7528819030895022,192.7843549552676,191.86390974804792,-0.9204452072196716,117.96345226986566,117.7601423264732,-0.2033099433924405,-0.1723499435463513,False,4,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,3.891300274196813,3.88233431283739,98.950522825103,98.83519883822098,higher,fleet_before_median,0.2399074183976582,0.4437449301125999,0.433943081486994,129.81596013809104,128.7950610888543,lower,fleet_before_median,0.2506672860063811,0.1806520146627815,0.1778761839425692,116.23281667084586,116.98569857393537,lower,fleet_before_positive_median,6.039110429447852,0.2260353401340487,0.2560916618451878,192.7843549552676,191.86390974804792,0.5,0.2,0.2,0.1,1.0,-0.2033099433924405,-0.1723499435463513,Declined,4,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,True,False,-0.23041042139246617,-0.9801848625605902,-0.27758307202122856,13.297178084327166,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
LDV_02,104.165428028415,101.47925445146863,-2.6861735769463593,107.21612380248754,104.943551529285,-2.2725722732025417,110.66787644172388,108.45349549861358,-2.2143809431102994,178.83726355655875,159.81080536962793,-19.026458186930824,113.54324041870566,109.40011716827684,-4.143123250428829,-3.648938708416737,False,5,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,9.64732711073401,9.142294083396765,104.165428028415,101.47925445146863,higher,fleet_before_median,0.2399074183976582,0.2772242821296154,0.2648609003378538,107.21612380248754,104.943551529285,lower,fleet_before_median,0.2506672860063811,0.2023409293240702,0.211590356965736,110.66787644172388,108.45349549861358,lower,fleet_before_positive_median,6.039110429447852,0.7146391072508385,1.5187144816774447,178.83726355655875,159.81080536962793,0.5,0.2,0.2,0.1,1.0,-4.143123250428829,-3.648938708416737,Declined,5,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,True,False,-5.2349528687103835,-1.2363381791761607,0.9249427641665808,112.51488566303378,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
LDV_01,111.13310287543648,106.9860887659217,-4.147014109514771,99.00809914364524,97.15659889590668,-1.8515002477385565,101.45156624005251,97.89302052570798,-3.5585457143445325,100.0,94.6945099859348,-5.3054900140651995,105.6584845144578,101.97241926587724,-3.6860652485805474,-3.4886599647150573,False,6,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,11.099643560142509,10.20904252768856,111.13310287543648,106.9860887659217,higher,fleet_before_median,0.2399074183976582,0.23519487468402,0.2266415596059671,99.00809914364524,97.15659889590668,lower,fleet_before_median,0.2506672860063811,0.2434942046368635,0.2614576533615948,101.45156624005251,97.89302052570798,lower,fleet_before_positive_median,6.039110429447852,6.039110429447852,6.715822101160004,100.0,94.6945099859348,0.5,0.2,0.2,0.1,1.0,-3.6860652485805474,-3.4886599647150573,Declined,6,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,True,False,-8.023690379139657,-0.8553315078052903,1.7963448724731323,11.20548596714471,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
LDV_03,99.90952444849614,97.79658220975992,-2.112942238736224,92.52682049637868,94.31237779196496,1.7855572955862868,98.58938576011457,95.84567799522176,-2.743707764892804,96.66053901667458,123.34046409850252,26.679925081827946,97.84405737721416,99.26394867216756,1.419891294953402,1.451177856902799,True,7,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,8.85971492873218,8.493053642410173,99.90952444849614,97.79658220975992,higher,fleet_before_median,0.2399074183976582,0.2065433510049061,0.2140859885604916,92.52682049637868,94.31237779196496,lower,fleet_before_median,0.2506672860063811,0.2578403673758988,0.2723970633717468,98.58938576011457,95.84567799522176,lower,fleet_before_positive_median,6.039110429447852,6.456392887383573,3.7534754402224286,96.66053901667458,123.34046409850252,0.5,0.2,0.2,0.1,1.0,1.419891294953402,1.451177856902799,Improved,7,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,False,False,-4.13852239345669,0.7542637555585513,1.4556695995847968,-41.86420334553851,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,1
LDV_07,95.88081656321752,91.0982318321722,-4.7825847310453184,94.54988778027584,100.58005733623652,6.030169555960683,95.41187987545396,98.9948245214788,3.582944646024842,,,,95.48084645861636,94.9601025418102,-0.5207439168061683,-0.5453909722426591,False,8,Light-Duty,primary_50_20_20_10,3,DSS,True,higher,vehicle_class_before_median,8.875761198570189,8.17347200821776,7.424729322193092,95.88081656321752,91.0982318321722,higher,fleet_before_median,0.2399074183976582,0.2151085381482547,0.2427068579131237,94.54988778027584,100.58005733623652,lower,fleet_before_median,0.2506672860063811,0.2747752193369578,0.2557577462476921,95.41187987545396,98.9948245214788,lower,fleet_before_positive_median,6.039110429447852,,,,,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,1.0,-0.5207439168061683,-0.5453909722426591,Declined,8,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul,False,True,False,-9.160644157976778,2.7598319764869013,-1.9017473089265713,,2026-04-19 ≤ t < 2026-05-19 KST,2026-05-19 ≤ t < 2026-06-19 KST,Before: 2026-04-19 ≤ t < 2026-05-19 KST | After: 2026-05-19 ≤ t < 2026-06-19 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,True,False,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
LDV_06,88.24714768813374,92.58756809742964,4.340420409295902,82.63693983648503,93.15644061573704,10.519500779252013,88.00457472978076,90.237660103152,2.233085373371239,50.03470572313615,88.74065340820948,38.70594768507333,83.25534732963364,91.84666953331356,8.591322203679937,10.319243723366188,True,9,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,7.008864589415596,7.650745168255292,88.24714768813374,92.58756809742964,higher,fleet_before_median,0.2399074183976582,0.168922102685738,0.209174247881974,82.63693983648503,93.15644061573704,lower,fleet_before_median,0.2506672860063811,0.3190014767279618,0.304904048001703,88.00457472978076,90.237660103152,lower,fleet_before_positive_median,6.039110429447852,18.100575583156616,7.571585903083701,50.03470572313615,88.74065340820948,0.5,0.2,0.2,0.1,1.0,8.591322203679937,10.319243723366188,Improved,9,2026-05-19,2026-04-19,2026-05-19,2026-05-19,2026-06-19,Asia/Seoul,False,False,False,9.15812498088533,4.025214519623599,-1.4097428726258798,-58.169363906143424,2026-04-19 ≤ t < 2026-05-19 KST,2026-05-19 ≤ t < 2026-06-19 KST,Before: 2026-04-19 ≤ t < 2026-05-19 KST | After: 2026-05-19 ≤ t < 2026-06-19 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,1
LDV_04,99.9010023682944,100.2653729613951,0.36437059310070197,83.55218940850159,78.28717887295123,-5.26501053555036,92.94165734479913,84.81008580653544,-8.131571538263685,51.01676867258527,70.85237878773225,19.835610115146977,90.35094740206588,89.83737729536811,-0.513570106697756,-0.568416957945494,False,10,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,8.858204992034022,8.922994283083327,99.9010023682944,100.2653729613951,higher,fleet_before_median,0.2399074183976582,0.1721353966265915,0.1543113930244074,83.55218940850159,78.28717887295123,lower,fleet_before_median,0.2506672860063811,0.2887405385742467,0.3404588368422407,92.94165734479913,84.81008580653544,lower,fleet_before_positive_median,6.039110429447852,17.635891286970423,11.007911936704504,51.01676867258527,70.85237878773225,0.5,0.2,0.2,0.1,1.0,-0.513570106697756,-0.568416957945494,Declined,10,2026-05-18,2026-04-18,2026-05-18,2026-05-18,2026-06-18,Asia/Seoul,False,True,False,0.7314042868455671,-1.7824003602184084,5.171829826799401,-37.5823327690999,2026-04-18 ≤ t < 2026-05-18 KST,2026-05-18 ≤ t < 2026-06-18 KST,Before: 2026-04-18 ≤ t < 2026-05-18 KST | After: 2026-05-18 ≤ t < 2026-06-18 KST,FEI-Lite V2,Bounded 0–200 Index,100 = Before baseline,0.5,0.2,0.2,0.1,False,True,104.42858262379337,103.71522101389492,-0.7133616098984561,-0.6831095395293829,4,0,8,0,3
