vehicle,coolant_temp,engine_rpm,forward_braking,fuel_used,incremental_distance,odometer,raw_odometer,side_acceleration,up_down_acceleration,vehicle_speed,has_speed,has_rpm,has_fuel,has_distance,fei_lite_ready
LDV_03,299.0,6288.0,1198.0,2594.0,482.0,0.0,0.0,1639.0,1785.0,9724.0,True,True,True,True,True
LDV_02,152.0,4357.0,377.0,1252.0,345.0,0.0,0.0,451.0,534.0,6458.0,True,True,True,True,True
LDV_04,0.0,5014.0,1668.0,1438.0,0.0,350.0,350.0,1578.0,2090.0,5522.0,True,True,True,True,True
LDV_01,143.0,4377.0,1215.0,1098.0,354.0,0.0,0.0,1160.0,1529.0,5635.0,True,True,True,True,True
LDV_08,219.0,6615.0,1530.0,1425.0,343.0,0.0,0.0,1600.0,2016.0,6802.0,True,True,True,True,True
LDV_06,164.0,5541.0,1135.0,1122.0,275.0,0.0,0.0,1098.0,1474.0,5686.0,True,True,True,True,True
LDV_07,336.0,8103.0,0.0,1981.0,450.0,0.0,0.0,0.0,0.0,9533.0,True,True,True,True,True
LDV_05,247.0,6251.0,1933.0,1523.0,383.0,0.0,0.0,2282.0,2720.0,7225.0,True,True,True,True,True
HDV_02,286.0,3521.0,722.0,1133.0,0.0,1169.0,1169.0,869.0,1000.0,7985.0,True,True,True,True,True
HDV_03,353.0,2176.0,308.0,1677.0,0.0,1446.0,1446.0,399.0,440.0,10090.0,True,True,True,True,True
HDV_04,126.0,2482.0,510.0,192.0,1078.0,1987.0,1987.0,611.0,700.0,9481.0,True,True,True,True,True
HDV_01,566.0,1965.0,340.0,1282.0,0.0,1284.0,1284.0,472.0,503.0,6264.0,True,True,True,True,True
