vehicle,coolant_temp,engine_rpm,forward_braking,fuel_used,incremental_distance,odometer,raw_odometer,side_acceleration,up_down_acceleration,vehicle_speed,has_speed,has_rpm,has_fuel,has_distance,kpi_ready
LDV_03,1409.0,22656.0,3542.0,10141.0,2122.0,0.0,0.0,4450.0,6030.0,37445.0,True,True,True,True,True
LDV_02,659.0,17579.0,1463.0,4593.0,1414.0,0.0,0.0,1636.0,2463.0,24481.0,True,True,True,True,True
LDV_04,0.0,29612.0,6428.0,7460.0,0.0,1885.0,1885.0,6323.0,9357.0,31330.0,True,True,True,True,True
LDV_01,921.0,23854.0,5377.0,6636.0,1710.0,0.0,0.0,5790.0,8514.0,30361.0,True,True,True,True,True
LDV_08,736.0,29094.0,7846.0,6118.0,1313.0,0.0,0.0,7228.0,11364.0,29329.0,True,True,True,True,True
LDV_06,765.0,23221.0,3480.0,5143.0,1289.0,0.0,0.0,3431.0,5332.0,25260.0,True,True,True,True,True
LDV_07,1482.0,33117.0,0.0,8565.0,1899.0,0.0,0.0,0.0,0.0,40054.0,True,True,True,True,True
LDV_05,1271.0,30872.0,12010.0,7412.0,1843.0,0.0,0.0,13371.0,19543.0,33971.0,True,True,True,True,True
HDV_02,1390.0,10104.0,2437.0,4842.0,0.0,5223.0,5223.0,2864.0,3968.0,33089.0,True,True,True,True,True
HDV_03,1616.0,9267.0,1444.0,6853.0,0.0,5871.0,5871.0,1635.0,2318.0,39335.0,True,True,True,True,True
HDV_04,692.0,8437.0,1392.0,923.0,4707.0,8615.0,8615.0,1690.0,2341.0,39911.0,True,True,True,True,True
HDV_01,2954.0,5592.0,1052.0,5771.0,0.0,5679.0,5679.0,1277.0,1630.0,26382.0,True,True,True,True,True
