vehicle,coolant_temp,engine_rpm,forward_braking,fuel_used,incremental_distance,odometer,raw_odometer,side_acceleration,up_down_acceleration,vehicle_speed,has_speed,has_rpm,has_fuel,has_distance,kpi_ready
LDV_03,1248.0,22845.0,5171.0,8268.0,1824.0,0.0,0.0,6171.0,8712.0,33190.0,True,True,True,True,True
LDV_02,549.0,13665.0,1148.0,3534.0,1175.0,0.0,0.0,1209.0,1900.0,20082.0,True,True,True,True,True
LDV_04,0.0,25884.0,6081.0,5190.0,2.0,1380.0,1380.0,6132.0,9275.0,25450.0,True,True,True,True,True
LDV_01,642.0,18030.0,4190.0,5176.0,1382.0,0.0,0.0,4366.0,6475.0,23802.0,True,True,True,True,True
LDV_08,525.0,15916.0,3527.0,4358.0,910.0,0.0,0.0,3431.0,5329.0,19116.0,True,True,True,True,True
LDV_06,665.0,23207.0,6736.0,4395.0,1061.0,0.0,0.0,6465.0,10107.0,22783.0,True,True,True,True,True
LDV_07,1149.0,25050.0,0.0,6609.0,1452.0,0.0,0.0,0.0,0.0,29160.0,True,True,True,True,True
LDV_05,1134.0,28073.0,11649.0,6294.0,1663.0,0.0,0.0,12920.0,18692.0,31067.0,True,True,True,True,True
HDV_02,1386.0,5762.0,1368.0,3743.0,0.0,4381.0,4381.0,1549.0,2172.0,25054.0,True,True,True,True,True
HDV_03,1549.0,6331.0,1182.0,5923.0,0.0,5095.0,5095.0,1377.0,1905.0,33110.0,True,True,True,True,True
HDV_04,587.0,6772.0,1252.0,699.0,3773.0,6929.0,6929.0,1418.0,2056.0,31791.0,True,True,True,True,True
HDV_01,3409.0,6464.0,842.0,5203.0,0.0,4978.0,4978.0,996.0,1314.0,25133.0,True,True,True,True,True
