component,method,valid_pair_count,before_mean,after_mean,mean_index_change,before_min,before_max,after_min,after_max,masked_change_count,direction_conflict_count,fleet_metric_direction,fleet_direction_match
FES,current_capped,12,97.16491033261626,94.8644034003983,-2.3005069322179446,78.96634928105847,100.0,83.65174722579461,100.0,4,0,-0.3093194544603492,True
FES,raw_ratio,12,100.60891907157607,96.86305551283876,-3.7458635587373172,78.96634928105847,125.05568042919596,83.65174722579461,115.02159983003094,0,0,-0.3093194544603492,True
FES,bounded_0_200,12,100.04922904627415,98.22081015401045,-1.828418892263694,88.24714768813374,111.13310287543648,91.09823183217219,106.9860887659217,0,0,-0.3093194544603492,True
RES,current_capped,12,91.74663594540209,91.58663945709333,-0.15999648830877553,70.41137110889227,100.0,64.3212261025746,100.0,5,0,0.002211371938578411,False
RES,raw_ratio,12,123.42993106762405,124.35169161731783,0.9217605496937864,70.41137110889227,199.00108761160288,64.3212261025746,205.77640467024943,0,0,0.002211371938578411,True
RES,bounded_0_200,12,106.42025510031804,106.4500771287032,0.02982202838515254,82.63693983648503,133.11061120292763,78.28717887295123,134.59272954180986,0,0,0.002211371938578411,True
IES,current_capped,12,94.2189187673767,93.00409271961985,-1.2148260477568644,78.578722762511,100.0,73.6263121648781,100.0,5,0,-0.005129546793245882,True
IES,raw_ratio,12,120.41389818325439,120.54634692125849,0.13244873800411008,78.578722762511,220.3294805521486,73.6263121648781,220.24237761551885,0,0,-0.005129546793245882,False
IES,bounded_0_200,12,106.33687374560498,105.64265767733123,-0.6942160682737656,88.00457472978076,137.56428548029294,84.81008580653544,137.54730354890168,0,0,-0.005129546793245882,True
DSS,current_capped,11,74.66162133628,78.84678922596184,4.185167889681822,15.376125951719589,100.0,16.954699824715163,100.0,5,0,1.0976721796363877,True
DSS,raw_ratio,11,1177.7436168680508,919.2513397634407,-258.4922771046104,15.376125951719589,6451.111963190185,16.954699824715163,3988.1882668711655,0,0,1.0976721796363877,False
DSS,bounded_0_200,11,120.62038484708968,124.30837950364793,3.6879946565582644,26.65391271354335,196.94708316506,28.993618640594814,195.1078573944182,0,0,1.0976721796363877,True
