weight_scenario,vehicle,available_component_count,missing_components,valid_for_fei,effective_fes_weight,effective_res_weight,effective_ies_weight,effective_dss_weight,before_fei_lite,after_fei_lite,fei_absolute_change,fei_percentage_change,change_status,after_rank
primary_50_20_20_10,HDV_01,4,,True,0.5,0.2,0.2,0.1,120.10134867958152,118.82054086158956,-1.2808078179919562,-1.0664391633178278,Declined,3
primary_50_20_20_10,HDV_02,4,,True,0.5,0.2,0.2,0.1,119.90156449435115,120.70873291269142,0.8071684183402681,0.6731925657052588,Improved,2
primary_50_20_20_10,HDV_03,4,,True,0.5,0.2,0.2,0.1,117.96345226986566,117.76014232647321,-0.20330994339244057,-0.17234994354635133,Declined,4
primary_50_20_20_10,HDV_04,4,,True,0.5,0.2,0.2,0.1,123.8528189326257,124.50692105905235,0.6541021264266504,0.5281285739507257,Improved,1
primary_50_20_20_10,LDV_01,4,,True,0.5,0.2,0.2,0.1,105.6584845144578,101.97241926587725,-3.6860652485805474,-3.4886599647150573,Declined,6
primary_50_20_20_10,LDV_02,4,,True,0.5,0.2,0.2,0.1,113.54324041870566,109.40011716827684,-4.143123250428829,-3.648938708416737,Declined,5
primary_50_20_20_10,LDV_03,4,,True,0.5,0.2,0.2,0.1,97.84405737721417,99.26394867216757,1.419891294953402,1.4511778569027993,Improved,7
primary_50_20_20_10,LDV_04,4,,True,0.5,0.2,0.2,0.1,90.35094740206587,89.83737729536811,-0.513570106697756,-0.568416957945494,Declined,10
primary_50_20_20_10,LDV_05,4,,True,0.5,0.2,0.2,0.1,89.27650341535742,87.07105560956971,-2.2054478057877134,-2.470356388765479,Declined,12
primary_50_20_20_10,LDV_06,4,,True,0.5,0.2,0.2,0.1,83.25534732963364,91.84666953331357,8.591322203679937,10.319243723366187,Improved,9
primary_50_20_20_10,LDV_07,3,DSS,True,0.5555555555555556,0.22222222222222224,0.22222222222222224,0.0,95.48084645861636,94.96010254181019,-0.5207439168061683,-0.5453909722426591,Declined,8
primary_50_20_20_10,LDV_08,4,,True,0.5,0.2,0.2,0.1,95.9143801930456,88.43462492054938,-7.47975527249622,-7.798366894976348,Declined,11
legacy_40_25_20_15,HDV_01,4,,True,0.4,0.25,0.2,0.15,126.40838813351402,125.12150738846734,-1.2868807450466875,-1.0180342966540075,Declined,3
legacy_40_25_20_15,HDV_02,4,,True,0.4,0.25,0.2,0.15,125.83649129964687,126.92034048265198,1.083849183005114,0.8613154831409031,Improved,2
legacy_40_25_20_15,HDV_03,4,,True,0.4,0.25,0.2,0.15,124.19841574202327,123.90957098449624,-0.28884475752703054,-0.23256718356778378,Declined,4
legacy_40_25_20_15,HDV_04,4,,True,0.4,0.25,0.2,0.15,129.62093103600452,130.5019232373434,0.88099220133887,0.6796681633880247,Improved,1
legacy_40_25_20_15,LDV_01,4,,True,0.4,0.25,0.2,0.15,104.49557918409641,100.86636583337717,-3.6292133507192403,-3.4730783627941118,Declined,6
legacy_40_25_20_15,LDV_02,4,,True,0.4,0.25,0.2,0.15,117.42936698381646,112.48990956807562,-4.939457415740847,-4.206322100349548,Declined,5
legacy_40_25_20_15,LDV_03,4,,True,0.4,0.25,0.2,0.15,97.31247290801721,100.36693254571493,3.054459637697718,3.1388161727067496,Improved,7
legacy_40_25_20_15,LDV_04,4,,True,0.4,0.25,0.2,0.15,87.08929506929077,87.26781788226278,0.17852281297200534,0.20498823974860217,Improved,10
